name,mode,pp,rep,prompt_tokens,output_tokens,pp_tps,tg_tps,ttft_s,e2e_s
bonsai,idle-peer,2048,1,2060,256,218.39635645031802,21.097873418066317,9.43239179207012,21.52811288833618
qwen,idle-peer,2048,1,2061,256,718.6496393799603,37.68951312546695,2.867878708988428,9.64037799835205
bonsai,idle-peer,2048,2,2059,256,218.10573876174536,21.174933465122486,9.440375167061575,21.483978271484375
qwen,idle-peer,2048,2,2060,256,739.5982330175788,46.372042703845246,2.78529599995818,8.285524129867554
bonsai,idle-peer,2048,3,2060,256,217.44976960609998,21.14832538632229,9.473452207981609,21.53221869468689
qwen,idle-peer,2048,3,2059,256,735.5032692408871,37.50640849409992,2.799443708965555,9.59929609298706
bonsai,idle-peer,32768,1,32780,256,179.25828337540383,12.596898243567944,182.86463187506888,203.1110498905182
qwen,idle-peer,32768,1,32780,256,1090.1461835741404,33.93599125424506,30.069361791945994,37.584506034851074
bonsai,idle-peer,32768,2,32780,256,179.12194380827384,12.594031784393023,183.00382020801771,203.2527778148651
qwen,idle-peer,32768,2,32780,256,1113.0017134610266,39.33427510608268,29.451886374969035,35.935962200164795
bonsai,idle-peer,32768,3,32779,256,179.0942331559293,12.58756732984726,183.02655212499667,203.2905969619751
qwen,idle-peer,32768,3,32780,256,1123.5041353683946,39.94700885422218,29.17657262494322,35.5614230632782
bonsai,idle-peer,512,1,524,256,213.88479691178878,22.2423850168897,2.449917000019923,13.915376901626587
qwen,idle-peer,512,1,524,256,371.0665245040298,52.69193994128614,1.4121457081055269,6.252848148345947
bonsai,idle-peer,512,2,524,256,217.6436184402333,22.29528688894962,2.4076056249905378,13.846248865127563
qwen,idle-peer,512,2,524,256,374.7029615427272,36.98415220792768,1.398441042052582,8.295285940170288
bonsai,idle-peer,512,3,523,256,216.96009116834475,22.270555635543428,2.410581582924351,13.86156415939331
qwen,idle-peer,512,3,524,256,364.63590709069985,39.752123683900116,1.4370499169453979,7.852847099304199
bonsai,idle-peer,8192,1,8204,256,208.72019680548092,19.014703193826268,39.30621054198127,52.71870160102844
qwen,idle-peer,8192,1,8204,256,1108.9533359727457,35.01922641369066,7.397966834018007,14.68078088760376
bonsai,idle-peer,8192,2,8204,256,208.46391619995745,19.011081559521,39.35453266708646,52.77017903327942
qwen,idle-peer,8192,2,8204,256,1110.7707712534557,36.63962329031045,7.385862333001569,14.346599817276001
bonsai,idle-peer,8192,3,8203,256,208.24273226418268,19.003059977071896,39.391530791064724,52.81158399581909
qwen,idle-peer,8192,3,8204,256,1112.624351199552,35.541452955017235,7.373557833023369,14.54902195930481
bonsai,simultaneous,2048,1,2060,256,183.42561947756354,14.311956948957828,11.23071033298038,29.051717042922974
qwen,simultaneous,2048,1,2060,256,151.92621234379496,20.282073063246997,13.559213832952082,26.134922981262207
bonsai,simultaneous,2048,2,2060,256,182.36910727054254,14.944900642673678,11.295772791956551,28.359347105026245
qwen,simultaneous,2048,2,2060,256,151.73764975747173,18.032545615133657,13.576063707936555,27.7187180519104
bonsai,simultaneous,2048,3,2060,256,160.50505643127923,16.552694513367467,12.834486624924466,28.240835905075073
qwen,simultaneous,2048,3,2062,256,199.84306537164252,19.866486756906777,10.318096333066933,23.15537977218628
bonsai,simultaneous,32768,1,32780,256,152.34173385289446,12.583531983493435,215.1741297079716,235.44191598892212
qwen,simultaneous,32768,1,32779,256,247.35933566062147,7.328322899821597,132.5157181250397,167.3135769367218
bonsai,simultaneous,32768,2,32780,256,151.9612594210515,12.59554925508093,215.7128739580512,235.9616150856018
qwen,simultaneous,32768,2,32780,256,247.39843619668721,6.642760449931852,132.49881649995223,170.89095997810364
bonsai,simultaneous,32768,3,32780,256,152.06985463308848,12.589857226271373,215.55883037496824,235.81831574440002
qwen,simultaneous,32768,3,32780,256,246.3941568769302,7.005861110270789,133.03886916593183,169.43894481658936
bonsai,simultaneous,512,1,523,256,169.25977398058424,15.737143054999484,3.089924957952462,19.294834852218628
qwen,simultaneous,512,1,524,256,109.068499335347,18.648323898498056,4.804320250055753,18.479960918426514
bonsai,simultaneous,512,2,525,256,153.38512947649681,16.569779887588894,3.422756833024323,18.81313180923462
qwen,simultaneous,512,2,524,256,108.27827815748945,22.817184620069693,4.839382458943874,16.016000032424927
bonsai,simultaneous,512,3,523,256,168.85239401677333,16.143645354189214,3.097379833110608,18.894152879714966
qwen,simultaneous,512,3,524,256,111.44692591413472,20.682036450549443,4.701789624989033,17.032835006713867
bonsai,simultaneous,8192,1,8204,256,160.2671361194655,19.014310272391274,51.18953391595278,64.60228300094604
qwen,simultaneous,8192,1,8204,256,340.9040389798646,17.07814165427838,24.065423291991465,38.9999840259552
bonsai,simultaneous,8192,2,8205,256,159.61805652368565,19.02768072741328,51.403958791983314,64.80756306648254
qwen,simultaneous,8192,2,8205,256,344.2020641048489,17.31969623874156,23.837742000003345,38.56239891052246
bonsai,simultaneous,8192,3,8204,256,159.9329155108795,19.00344706328441,51.29650749999564,64.7173261642456
qwen,simultaneous,8192,3,8204,256,344.47647380161885,16.97372095483428,23.815849917009473,38.841508865356445
