kind,task,model,condition,rep,input_tokens,output_tokens,decode_tps,ttft_s,wall_s,draft_proposed,draft_accepted
fixed,token_bucket,bonsai,idle-peer,1,524,256,22.260533700690704,2.45116533304099,13.907138374983333,,
fixed,token_bucket,qwen,idle-peer,1,524,256,49.28245708728118,1.4701878329506144,6.645425208029337,155,127
fixed,token_bucket,bonsai,simultaneous,1,524,256,15.640431069697101,2.7819155000615865,19.086381458095275,,
fixed,token_bucket,qwen,simultaneous,1,524,256,27.256442155168987,6.110929791000672,15.467010958003812,153,126
fixed,token_bucket,bonsai,idle-peer,2,524,256,22.257935540526045,2.4230534590315074,13.879723542020656,,
fixed,token_bucket,qwen,idle-peer,2,524,256,51.951637977967025,1.4572779999580234,6.366199000040069,156,124
fixed,token_bucket,bonsai,simultaneous,2,524,256,15.611635884930429,2.782879541045986,19.117383040953428,,
fixed,token_bucket,qwen,simultaneous,2,524,256,27.084968454790353,6.115856833988801,15.532394583919086,157,127
fixed,token_bucket,bonsai,idle-peer,3,524,256,22.231267862560244,2.443837709026411,13.914676625048742,,
fixed,token_bucket,qwen,idle-peer,3,524,256,51.68877795249535,1.4425697079859674,6.376444749999791,158,124
fixed,token_bucket,bonsai,simultaneous,3,524,256,16.68651093626444,3.11159566603601,18.394057249999605,,
fixed,token_bucket,qwen,simultaneous,3,524,256,25.381857605447625,5.193711083033122,15.241433666087687,155,127
quality,balanced,bonsai,idle-peer,1,87,92,22.851000709143904,0.556965000112541,4.58558425004594,,
quality,balanced,qwen,idle-peer,1,84,94,44.75702978607063,1.0189422499388456,3.0979257909348235,55,42
quality,balanced,bonsai,simultaneous,1,82,92,16.67404719855407,1.0580001670168713,6.561896916944534,,
quality,balanced,qwen,simultaneous,1,82,94,24.740261063689594,1.6390628749504685,5.398687041946687,53,42
quality,lru,bonsai,idle-peer,1,101,169,22.45639899739228,0.6096470420015976,8.136431875056587,,
quality,lru,qwen,idle-peer,1,105,218,48.78200886908336,1.1125410419190302,5.602414416964166,129,109
quality,lru,bonsai,simultaneous,1,102,169,17.64177432274312,1.299238667008467,10.868501832941547,,
quality,lru,qwen,simultaneous,1,102,150,26.596496940009477,1.8218091250164434,7.499699665931985,84,76
quality,topo,bonsai,idle-peer,1,102,158,22.591628930959164,0.6166381250368431,7.612137082964182,,
quality,topo,qwen,idle-peer,1,107,216,47.5392719300409,1.115411042002961,5.63858608296141,118,103
quality,topo,bonsai,simultaneous,1,105,156,15.444262750759801,1.2958847091067582,11.377545125083998,,
quality,topo,qwen,simultaneous,1,105,219,24.899148926963115,1.8727838749764487,10.62939458398614,123,101
